added_at,id,name,artist,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
2019-01-24T23:11:36Z,3Ddgh4ZwVIkLx0f4WeDFmo,sugar honey ice & tea,Bring Me The Horizon,0.000243,0.431,261560,0.914,0.0096,0,0.502,-4.243,0,0.0616,147.108,0.534
2019-01-24T23:03:13Z,5kpi9iFQP70u12O1xSa18C,Fuckthenoia (feat. Annalisa),Fedez,0.157,0.624,162453,0.787,0,11,0.328,-5.508,0,0.0893,91.026,0.417
2019-01-21T22:00:56Z,4glBRF3uJCf3bTG4hhIhpn,Chłopaki nie płaczą,Bedoes,0.285,0.487,211800,0.519,1.41e-06,9,0.0973,-11.125,0,0.255,190.075,0.242
2019-01-20T21:07:37Z,2cFNOGmLYBeoMu10gAb16F,Hand In Hand,Walking On Cars,0.103,0.486,228163,0.821,0.0062,6,0.0706,-5.13,1,0.0295,142.053,0.274
2019-01-20T20:59:20Z,05lRxW4fQT0BJwkC9LvIb3,Love Backs Down,Walking On Cars,0.0234,0.569,241387,0.57,0,4,0.0859,-5.258,0,0.0271,139.989,0.265
2019-01-16T19:09:57Z,7BOFPHYn3P6KiDZfPy9np5,Monster,Walking On Cars,0.0729,0.588,184767,0.707,0,10,0.105,-3.203,0,0.0328,87.991,0.364
2019-01-12T10:59:02Z,58irqlvWofzSBKsvE3HSvF,Neony,Smolik,0.00809,0.576,265956,0.694,0,8,0.866,-9.216,1,0.0733,114.877,0.167
2019-01-11T18:31:10Z,4EZhkTdGDdlLoHI6NsYSX5,Holding out for You (feat. Zara Larsson),Fedez,0.137,0.7,181747,0.711,0.00278,6,0.134,-6.292,0,0.0747,109.936,0.767
2019-01-11T18:26:40Z,6Qs4SXO9dwPj5GKvVOv8Ki,Dancing With A Stranger (with Normani),Sam Smith,0.45,0.741,171030,0.52,1.97e-06,8,0.222,-7.513,1,0.0656,102.998,0.347
2019-01-10T23:16:15Z,0zL76omZWytdTtyXKVfuDw,Homemade Dynamite,Lorde,0.287,0.771,189796,0.431,2.75e-06,10,0.0934,-5.423,1,0.0577,107.047,0.268
